Local Health Jurisdiction,Census Tract,Number of indicators,At least 25% of the residential parcels were built before 1978,Census tract is within 1.7 miles of a current or former lead emitting facility,"Census tract is within 1,000 feet of a state highway",Census tract is within the city of a known current or historic smelter,Census tract is within 1 km of an airport using leaded avgas,Census tract is within 1 km of a railroad,"Census tract is within 1,000 feet of a speedway",Census tract is served by a water district with at least one known leaded service line or fitting
Berkeley,06001422901,3,Yes,Yes,No,No,No,No,No,Yes
Berkeley,06001422902,3,Yes,Yes,No,No,No,No,No,Yes
Berkeley,06001423000,3,Yes,Yes,No,No,No,No,No,Yes
Berkeley,06001423100,5,Yes,Yes,Yes,No,No,Yes,No,Yes
Berkeley,06001423200,5,Yes,Yes,Yes,No,No,Yes,No,Yes
Berkeley,06001423300,5,Yes,Yes,Yes,No,No,Yes,No,Yes
Berkeley,06001423400,4,Yes,Yes,Yes,No,No,No,No,Yes
Berkeley,06001423500,4,Yes,Yes,Yes,No,No,No,No,Yes
Berkeley,06001423601,4,Yes,Yes,Yes,No,No,No,No,Yes
Berkeley,06001423602,3,Yes,Yes,No,No,No,No,No,Yes
Berkeley,06001423700,4,Yes,No,Yes,Yes,No,No,No,Yes
Berkeley,06001423800,4,Yes,No,Yes,Yes,No,No,No,Yes
Berkeley,06001423901,5,Yes,Yes,Yes,Yes,No,No,No,Yes
Berkeley,06001423902,5,Yes,Yes,Yes,Yes,No,No,No,Yes
Berkeley,06001424001,5,Yes,Yes,Yes,Yes,No,No,No,Yes
Berkeley,06001424002,6,Yes,Yes,Yes,Yes,No,Yes,No,Yes
Alameda,06001425101,6,Yes,Yes,Yes,Yes,No,Yes,No,Yes
Alameda,06001425102,5,No,Yes,Yes,Yes,No,Yes,No,Yes
Alameda,06001425103,6,Yes,Yes,Yes,Yes,No,Yes,No,Yes
Alameda,06001425104,6,Yes,Yes,Yes,Yes,No,Yes,No,Yes
Alameda,06001426100,3,Yes,No,No,Yes,No,No,No,Yes
Alameda,06001426200,3,Yes,No,No,Yes,No,No,No,Yes
Alameda,06001427100,5,Yes,Yes,No,Yes,No,Yes,No,Yes
Alameda,06001427200,6,Yes,Yes,Yes,Yes,No,Yes,No,Yes
Alameda,06001427300,6,Yes,Yes,Yes,Yes,No,Yes,No,Yes
Alameda,06001427600,3,Yes,No,Yes,No,No,No,No,Yes
Alameda,06001427700,3,Yes,No,Yes,No,No,No,No,Yes
Alameda,06001427800,4,Yes,Yes,Yes,No,No,No,No,Yes
Alameda,06001427900,4,Yes,Yes,Yes,No,No,No,No,Yes
Alameda,06001428000,4,Yes,Yes,Yes,No,No,No,No,Yes
Alameda,06001428100,4,Yes,Yes,Yes,No,No,No,No,Yes
Alameda,06001428200,4,Yes,Yes,Yes,No,No,No,No,Yes
Alameda,06001428301,6,Yes,Yes,Yes,Yes,Yes,No,No,Yes
Alameda,06001428302,3,No,Yes,Yes,No,No,No,No,Yes
Alameda,06001428400,4,Yes,Yes,Yes,No,No,No,No,Yes
Alameda,06001428500,3,Yes,Yes,No,No,No,No,No,Yes
Alameda,06001428600,4,Yes,Yes,Yes,No,No,No,No,Yes
Alameda,06001428700,5,No,Yes,Yes,Yes,No,Yes,No,Yes
Alameda,06001430101,2,No,No,Yes,No,No,No,No,Yes
Alameda,06001430102,3,Yes,No,No,Yes,No,No,No,Yes
Alameda,06001430200,2,Yes,No,No,No,No,No,No,Yes
Alameda,06001430300,2,Yes,No,No,No,No,No,No,Yes
Alameda,06001430400,3,Yes,No,No,Yes,No,No,No,Yes
Alameda,06001430500,4,Yes,Yes,Yes,No,No,No,No,Yes
Alameda,06001430600,4,Yes,Yes,Yes,No,No,No,No,Yes
Alameda,06001430700,2,Yes,No,No,No,No,No,No,Yes
Alameda,06001430800,3,Yes,No,Yes,No,No,No,No,Yes
Alameda,06001430900,3,Yes,No,Yes,No,No,No,No,Yes
Alameda,06001431000,4,Yes,Yes,Yes,No,No,No,No,Yes
Alameda,06001431100,4,Yes,Yes,Yes,No,No,No,No,Yes
Alameda,06001431200,5,Yes,Yes,Yes,No,No,Yes,No,Yes
Alameda,06001432100,4,Yes,No,Yes,Yes,No,No,No,Yes
Alameda,06001432200,6,Yes,Yes,Yes,Yes,No,Yes,No,Yes
Alameda,06001432300,6,Yes,Yes,Yes,Yes,No,Yes,No,Yes
Alameda,06001432400,7,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
Alameda,06001432501,5,Yes,Yes,Yes,No,No,Yes,No,Yes
Alameda,06001432502,6,Yes,Yes,Yes,Yes,No,Yes,No,Yes
Alameda,06001432601,5,Yes,Yes,Yes,No,No,Yes,No,Yes
Alameda,06001432602,5,Yes,Yes,Yes,No,No,Yes,No,Yes
Alameda,06001432700,6,Yes,Yes,Yes,Yes,No,Yes,No,Yes
Alameda,06001432800,4,Yes,No,Yes,Yes,No,No,No,Yes
Alameda,06001433000,5,Yes,Yes,Yes,No,No,Yes,No,Yes
Alameda,06001433102,5,Yes,Yes,Yes,No,No,Yes,No,Yes
Alameda,06001433103,5,Yes,Yes,Yes,No,No,Yes,No,Yes
Alameda,06001433104,5,Yes,Yes,Yes,No,No,Yes,No,Yes
Alameda,06001433200,5,Yes,Yes,Yes,No,No,Yes,No,Yes
Alameda,06001433300,5,Yes,Yes,Yes,No,No,Yes,No,Yes
Alameda,06001433400,5,Yes,Yes,No,Yes,No,Yes,No,Yes
Alameda,06001433500,4,Yes,Yes,No,No,No,Yes,No,Yes
Alameda,06001433600,5,Yes,Yes,Yes,No,No,Yes,No,Yes
