Local Health Jurisdiction,Census Tract,Number of indicators,At least 25% of the residential parcels were built before 1978,Census tract is within 1.7 miles of a current or former lead emitting facility,"Census tract is within 1,000 feet of a state highway",Census tract is within the city of a known current or historic smelter,Census tract is within 1 km of an airport using leaded avgas,Census tract is within 1 km of a railroad,"Census tract is within 1,000 feet of a speedway",Census tract is served by a water district with at least one known leaded service line or fitting
Napa,06055200202,2,Yes,No,No,No,No,Yes,No,No
Napa,06055200203,3,Yes,No,Yes,No,No,Yes,No,No
Napa,06055200301,3,Yes,No,Yes,No,No,Yes,No,No
Napa,06055200302,2,Yes,No,No,No,No,Yes,No,No
Napa,06055200400,3,Yes,No,Yes,No,No,Yes,No,No
Napa,06055200501,3,Yes,No,Yes,No,No,Yes,No,No
Napa,06055200503,3,Yes,No,Yes,No,No,Yes,No,No
Napa,06055200504,2,Yes,No,No,No,No,Yes,No,No
Napa,06055200505,3,Yes,No,Yes,No,No,Yes,No,No
Napa,06055200601,3,Yes,No,Yes,No,No,Yes,No,No
Napa,06055200602,2,Yes,No,No,No,No,Yes,No,No
Napa,06055200703,1,Yes,No,No,No,No,No,No,No
Napa,06055200704,3,Yes,No,Yes,No,No,Yes,No,No
Napa,06055200705,3,Yes,No,Yes,No,No,Yes,No,No
Napa,06055200706,3,Yes,No,Yes,No,No,Yes,No,No
Napa,06055200707,3,Yes,No,Yes,No,No,Yes,No,No
Napa,06055200802,3,Yes,No,Yes,No,No,Yes,No,No
Napa,06055200803,1,Yes,No,No,No,No,No,No,No
Napa,06055200804,2,Yes,No,Yes,No,No,No,No,No
Napa,06055200900,3,Yes,No,Yes,No,No,Yes,No,No
Napa,06055201003,3,No,Yes,Yes,No,No,Yes,No,No
Napa,06055201004,3,No,Yes,Yes,No,No,Yes,No,No
Napa,06055201005,5,Yes,Yes,Yes,No,Yes,Yes,No,No
Napa,06055201006,3,Yes,No,Yes,No,No,Yes,No,No
Napa,06055201007,4,Yes,Yes,Yes,No,No,Yes,No,No
Napa,06055201101,1,Yes,No,No,No,No,No,No,No
Napa,06055201102,3,Yes,No,Yes,No,No,Yes,No,No
Napa,06055201200,3,Yes,No,Yes,No,No,Yes,No,No
Napa,06055201300,3,Yes,No,Yes,No,No,Yes,No,No
Napa,06055201401,2,Yes,No,Yes,No,No,No,No,No
Napa,06055201402,2,Yes,No,Yes,No,No,No,No,No
Napa,06055201403,2,Yes,No,Yes,No,No,No,No,No
Napa,06055201500,3,Yes,No,Yes,No,No,Yes,No,No
Napa,06055201601,3,Yes,No,Yes,No,No,Yes,No,No
Napa,06055201602,3,Yes,No,Yes,No,No,Yes,No,No
Napa,06055201700,4,Yes,No,Yes,No,Yes,Yes,No,No
Napa,06055201800,2,Yes,No,Yes,No,No,No,No,No
Napa,06055201900,2,Yes,No,Yes,No,No,No,No,No
Napa,06055202000,3,Yes,No,Yes,No,No,No,Yes,No
Nevada,06057000102,1,No,No,Yes,No,No,No,No,No
Nevada,06057000104,2,Yes,No,Yes,No,No,No,No,No
Nevada,06057000105,2,Yes,No,Yes,No,No,No,No,No
Nevada,06057000106,2,Yes,No,Yes,No,No,No,No,No
Nevada,06057000107,1,No,No,Yes,No,No,No,No,No
Nevada,06057000200,0,No,No,No,No,No,No,No,No
Nevada,06057000300,2,Yes,No,Yes,No,No,No,No,No
Nevada,06057000401,0,No,No,No,No,No,No,No,No
Nevada,06057000403,1,No,No,Yes,No,No,No,No,No
Nevada,06057000404,2,Yes,No,Yes,No,No,No,No,No
Nevada,06057000502,2,Yes,No,Yes,No,No,No,No,No
Nevada,06057000503,1,Yes,No,No,No,No,No,No,No
Nevada,06057000504,2,Yes,No,Yes,No,No,No,No,No
Nevada,06057000601,3,Yes,No,Yes,No,Yes,No,No,No
Nevada,06057000602,3,Yes,No,Yes,No,Yes,No,No,No
Nevada,06057000701,4,Yes,No,Yes,No,Yes,Yes,No,No
Nevada,06057000702,2,Yes,No,Yes,No,No,No,No,No
Nevada,06057000801,2,Yes,No,Yes,No,No,No,No,No
Nevada,06057000802,2,Yes,No,Yes,No,No,No,No,No
Nevada,06057000900,3,Yes,No,Yes,No,No,Yes,No,No
Nevada,06057001205,3,No,No,Yes,No,Yes,Yes,No,No
Nevada,06057001207,4,Yes,No,Yes,No,Yes,Yes,No,No
Nevada,06057001208,2,No,No,Yes,No,No,Yes,No,No
Nevada,06057001209,3,Yes,No,Yes,No,No,Yes,No,No
Nevada,06057001210,0,No,No,No,No,No,No,No,No
Nevada,06057001211,2,No,No,Yes,No,No,Yes,No,No
Orange,06059001101,2,Yes,No,Yes,No,No,No,No,No
Orange,06059001102,3,Yes,No,Yes,No,No,Yes,No,No
Orange,06059001103,3,Yes,No,Yes,No,No,Yes,No,No
Orange,06059001201,3,Yes,No,Yes,No,No,Yes,No,No
Orange,06059001202,3,Yes,No,Yes,No,No,Yes,No,No
Orange,06059001301,3,Yes,No,Yes,No,No,Yes,No,No
Orange,06059001303,3,Yes,No,Yes,No,No,Yes,No,No
Orange,06059001304,3,Yes,No,Yes,No,No,Yes,No,No
Orange,06059001401,3,Yes,No,Yes,No,No,Yes,No,No
Orange,06059001402,4,Yes,Yes,Yes,No,No,Yes,No,No
Orange,06059001403,3,Yes,Yes,No,No,No,Yes,No,No
Orange,06059001404,4,Yes,Yes,Yes,No,No,Yes,No,No
Orange,06059001501,3,Yes,Yes,No,No,No,Yes,No,No
Orange,06059001503,4,Yes,Yes,Yes,No,No,Yes,No,No
Orange,06059001504,4,Yes,Yes,Yes,No,No,Yes,No,No
Orange,06059001505,4,Yes,Yes,Yes,No,No,Yes,No,No
Orange,06059001506,3,Yes,Yes,Yes,No,No,No,No,No
Orange,06059001507,4,Yes,Yes,Yes,No,No,Yes,No,No
Orange,06059001602,2,Yes,Yes,No,No,No,No,No,No
Orange,06059001603,3,Yes,Yes,No,No,No,Yes,No,No
Orange,06059001604,4,Yes,Yes,Yes,No,No,Yes,No,No
Orange,06059001704,3,Yes,No,No,No,Yes,Yes,No,No
Orange,06059001705,4,Yes,Yes,Yes,No,No,Yes,No,No
Orange,06059001706,2,Yes,No,No,No,No,Yes,No,No
Orange,06059001708,3,Yes,No,Yes,No,No,Yes,No,No
Orange,06059001709,1,No,No,Yes,No,No,No,No,No
Orange,06059001710,3,No,Yes,Yes,No,No,Yes,No,No
Orange,06059001801,5,Yes,Yes,Yes,No,Yes,Yes,No,No
Orange,06059001802,5,Yes,Yes,Yes,No,Yes,Yes,No,No
Orange,06059001901,4,Yes,Yes,No,No,Yes,Yes,No,No
Orange,06059001902,3,Yes,Yes,No,No,No,Yes,No,No
Orange,06059001903,4,Yes,Yes,Yes,No,No,Yes,No,No
Orange,06059011000,4,Yes,Yes,No,No,Yes,Yes,No,No
Orange,06059011101,4,Yes,Yes,Yes,No,No,Yes,No,No
Orange,06059011102,4,Yes,Yes,Yes,No,No,Yes,No,No
Orange,06059011200,3,Yes,Yes,No,No,No,Yes,No,No
Orange,06059011300,3,Yes,Yes,No,No,No,Yes,No,No
Orange,06059011401,3,Yes,Yes,No,No,No,Yes,No,No
Orange,06059011402,3,Yes,Yes,No,No,No,Yes,No,No
Orange,06059011403,3,Yes,Yes,No,No,No,Yes,No,No
Orange,06059011502,4,Yes,Yes,Yes,No,No,Yes,No,No
Orange,06059011503,3,Yes,Yes,No,No,No,Yes,No,No
Orange,06059011504,4,Yes,Yes,Yes,No,No,Yes,No,No
Orange,06059011601,4,Yes,Yes,Yes,No,No,Yes,No,No
Orange,06059011602,4,Yes,Yes,Yes,No,No,Yes,No,No
Orange,06059011707,3,Yes,Yes,Yes,No,No,No,No,No
Orange,06059011708,3,Yes,Yes,Yes,No,No,No,No,No
Orange,06059011709,2,Yes,No,Yes,No,No,No,No,No
Orange,06059011710,1,Yes,No,No,No,No,No,No,No
Orange,06059011711,2,Yes,Yes,No,No,No,No,No,No
Orange,06059011712,4,Yes,Yes,Yes,No,No,Yes,No,No
Orange,06059011714,4,Yes,Yes,Yes,No,No,Yes,No,No
Orange,06059011715,3,Yes,Yes,No,No,No,Yes,No,No
Orange,06059011716,3,Yes,Yes,No,No,No,Yes,No,No
Orange,06059011717,2,Yes,No,Yes,No,No,No,No,No
Orange,06059011718,1,Yes,No,No,No,No,No,No,No
Orange,06059011720,4,Yes,Yes,Yes,No,No,Yes,No,No
Orange,06059011721,4,Yes,Yes,Yes,No,No,Yes,No,No
Orange,06059011722,4,Yes,Yes,Yes,No,No,Yes,No,No
Orange,06059021802,2,Yes,Yes,No,No,No,No,No,No
Orange,06059021807,4,Yes,Yes,Yes,No,No,Yes,No,No
Orange,06059021809,3,Yes,Yes,Yes,No,No,No,No,No
Orange,06059021810,2,Yes,Yes,No,No,No,No,No,No
Orange,06059021812,4,Yes,Yes,Yes,No,No,Yes,No,No
Orange,06059021813,4,Yes,Yes,Yes,No,No,Yes,No,No
Orange,06059021814,3,Yes,Yes,Yes,No,No,No,No,No
Orange,06059021816,4,Yes,Yes,Yes,No,No,Yes,No,No
Orange,06059021817,4,Yes,Yes,Yes,No,No,Yes,No,No
Orange,06059021820,3,Yes,Yes,No,No,No,Yes,No,No
Orange,06059021821,2,No,Yes,No,No,No,Yes,No,No
Orange,06059021822,1,Yes,No,No,No,No,No,No,No
Orange,06059021823,1,Yes,No,No,No,No,No,No,No
Orange,06059021824,0,No,No,No,No,No,No,No,No
Orange,06059021825,1,No,No,No,No,No,Yes,No,No
Orange,06059021826,2,No,No,Yes,No,No,Yes,No,No
Orange,06059021827,1,No,No,No,No,No,Yes,No,No
Orange,06059021828,1,No,No,No,No,No,Yes,No,No
Orange,06059021829,2,No,Yes,No,No,No,Yes,No,No
Orange,06059021830,2,No,Yes,No,No,No,Yes,No,No
Orange,06059021831,1,No,No,Yes,No,No,No,No,No
Orange,06059021832,2,No,Yes,Yes,No,No,No,No,No
Orange,06059021903,4,Yes,Yes,Yes,No,No,Yes,No,No
Orange,06059021905,4,Yes,Yes,Yes,No,No,Yes,No,No
Orange,06059021912,1,No,No,Yes,No,No,No,No,No
Orange,06059021913,1,Yes,No,No,No,No,No,No,No
Orange,06059021914,1,Yes,No,No,No,No,No,No,No
Orange,06059021915,4,Yes,Yes,Yes,No,No,Yes,No,No
Orange,06059021916,1,No,Yes,No,No,No,No,No,No
Orange,06059021917,1,Yes,No,No,No,No,No,No,No
Orange,06059021918,1,Yes,No,No,No,No,No,No,No
Orange,06059021919,2,Yes,Yes,No,No,No,No,No,No
Orange,06059021920,1,Yes,No,No,No,No,No,No,No
Orange,06059021921,2,No,No,Yes,No,No,Yes,No,No
Orange,06059021922,2,No,No,Yes,No,No,Yes,No,No
Orange,06059021923,1,No,No,Yes,No,No,No,No,No
Orange,06059021924,3,No,Yes,Yes,No,No,Yes,No,No
Orange,06059032002,2,Yes,No,No,No,No,Yes,No,No
Orange,06059032003,3,Yes,No,Yes,No,No,Yes,No,No
Orange,06059032011,2,Yes,Yes,No,No,No,No,No,No
Orange,06059032012,3,Yes,No,Yes,No,No,Yes,No,No
Orange,06059032013,3,Yes,No,Yes,No,No,Yes,No,No
Orange,06059032014,4,Yes,Yes,Yes,No,No,Yes,No,No
Orange,06059032015,3,Yes,No,Yes,No,No,Yes,No,No
Orange,06059032020,1,Yes,No,No,No,No,No,No,No
Orange,06059032022,4,Yes,Yes,Yes,No,No,Yes,No,No
Orange,06059032027,3,Yes,Yes,No,No,No,Yes,No,No
Orange,06059032028,2,Yes,No,No,No,No,Yes,No,No
Orange,06059032029,1,No,Yes,No,No,No,No,No,No
Orange,06059032030,2,Yes,Yes,No,No,No,No,No,No
Orange,06059032031,1,Yes,No,No,No,No,No,No,No
Orange,06059032032,1,Yes,No,No,No,No,No,No,No
Orange,06059032033,0,No,No,No,No,No,No,No,No
Orange,06059032034,0,No,No,No,No,No,No,No,No
Orange,06059032035,0,No,No,No,No,No,No,No,No
Orange,06059032036,1,Yes,No,No,No,No,No,No,No
Orange,06059032037,1,Yes,No,No,No,No,No,No,No
Orange,06059032038,0,No,No,No,No,No,No,No,No
Orange,06059032039,1,Yes,No,No,No,No,No,No,No
Orange,06059032040,0,No,No,No,No,No,No,No,No
Orange,06059032041,3,Yes,Yes,Yes,No,No,No,No,No
Orange,06059032042,0,No,No,No,No,No,No,No,No
Orange,06059032043,2,No,Yes,Yes,No,No,No,No,No
Orange,06059032044,1,No,No,Yes,No,No,No,No,No
Orange,06059032045,0,No,No,No,No,No,No,No,No
Orange,06059032046,0,No,No,No,No,No,No,No,No
Orange,06059032047,2,No,Yes,Yes,No,No,No,No,No
Orange,06059032048,1,No,No,Yes,No,No,No,No,No
Orange,06059032049,1,No,No,Yes,No,No,No,No,No
Orange,06059032050,1,No,No,Yes,No,No,No,No,No
Orange,06059032051,0,No,No,No,No,No,No,No,No
Orange,06059032053,1,No,No,Yes,No,No,No,No,No
Orange,06059032054,1,No,No,Yes,No,No,No,No,No
Orange,06059032055,0,No,No,No,No,No,No,No,No
Orange,06059032057,0,No,No,No,No,No,No,No,No
Orange,06059032058,1,No,Yes,No,No,No,No,No,No
Orange,06059032059,0,No,No,No,No,No,No,No,No
Orange,06059032061,3,No,Yes,Yes,No,No,Yes,No,No
Orange,06059032062,0,No,No,No,No,No,No,No,No
Orange,06059032063,0,No,No,No,No,No,No,No,No
Orange,06059032064,3,Yes,Yes,Yes,No,No,No,No,No
Orange,06059032065,1,No,No,Yes,No,No,No,No,No
Orange,06059032066,2,No,Yes,Yes,No,No,No,No,No
Orange,06059042106,4,Yes,Yes,Yes,No,No,Yes,No,No
Orange,06059042107,4,Yes,Yes,Yes,No,No,Yes,No,No
Orange,06059042108,4,Yes,Yes,Yes,No,No,Yes,No,No
Orange,06059042109,1,No,Yes,No,No,No,No,No,No
Orange,06059042111,2,No,Yes,Yes,No,No,No,No,No
Orange,06059042112,2,No,Yes,Yes,No,No,No,No,No
Orange,06059042113,4,Yes,Yes,Yes,No,No,Yes,No,No
Orange,06059042114,4,Yes,Yes,Yes,No,No,Yes,No,No
Orange,06059042115,3,Yes,No,Yes,No,No,Yes,No,No
Orange,06059042116,4,Yes,Yes,Yes,No,No,Yes,No,No
Orange,06059042201,4,Yes,Yes,Yes,No,No,Yes,No,No
Orange,06059042203,4,Yes,Yes,Yes,No,No,Yes,No,No
Orange,06059042205,4,Yes,Yes,Yes,No,No,Yes,No,No
Orange,06059042206,4,Yes,Yes,Yes,No,No,Yes,No,No
Orange,06059042305,2,Yes,No,Yes,No,No,No,No,No
Orange,06059042307,3,Yes,No,Yes,No,No,Yes,No,No
Orange,06059042311,3,Yes,Yes,No,No,No,Yes,No,No
Orange,06059042312,4,Yes,Yes,Yes,No,No,Yes,No,No
Orange,06059042313,3,Yes,No,Yes,No,No,Yes,No,No
Orange,06059042315,3,No,Yes,Yes,No,No,Yes,No,No
Orange,06059042317,1,Yes,No,No,No,No,No,No,No
Orange,06059042319,0,No,No,No,No,No,No,No,No
Orange,06059042320,1,No,No,Yes,No,No,No,No,No
Orange,06059042323,1,Yes,No,No,No,No,No,No,No
Orange,06059042324,2,Yes,No,Yes,No,No,No,No,No
Orange,06059042325,0,No,No,No,No,No,No,No,No
Orange,06059042326,1,Yes,No,No,No,No,No,No,No
Orange,06059042327,2,No,No,Yes,No,No,Yes,No,No
Orange,06059042328,2,No,No,Yes,No,No,Yes,No,No
Orange,06059042329,3,Yes,Yes,No,No,No,Yes,No,No
Orange,06059042330,2,No,Yes,No,No,No,Yes,No,No
Orange,06059042331,1,No,Yes,No,No,No,No,No,No
Orange,06059042332,1,No,Yes,No,No,No,No,No,No
Orange,06059042333,2,No,No,Yes,No,No,Yes,No,No
Orange,06059042334,1,No,No,Yes,No,No,No,No,No
Orange,06059042335,2,No,No,Yes,No,No,Yes,No,No
Orange,06059042336,0,No,No,No,No,No,No,No,No
Orange,06059042337,2,No,Yes,No,No,No,Yes,No,No
Orange,06059042338,1,Yes,No,No,No,No,No,No,No
Orange,06059042339,0,No,No,No,No,No,No,No,No
Orange,06059042340,3,Yes,Yes,No,No,No,Yes,No,No
Orange,06059042341,4,Yes,Yes,Yes,No,No,Yes,No,No
Orange,06059052408,3,Yes,Yes,No,No,No,Yes,No,No
Orange,06059052410,4,Yes,Yes,Yes,No,No,Yes,No,No
Orange,06059052411,4,Yes,Yes,Yes,No,No,Yes,No,No
Orange,06059052415,3,Yes,Yes,No,No,No,Yes,No,No
Orange,06059052416,3,Yes,Yes,No,No,No,Yes,No,No
Orange,06059052417,1,Yes,No,No,No,No,No,No,No
Orange,06059052419,1,No,No,Yes,No,No,No,No,No
Orange,06059052421,1,Yes,No,No,No,No,No,No,No
Orange,06059052422,2,No,Yes,Yes,No,No,No,No,No
Orange,06059052423,2,No,Yes,Yes,No,No,No,No,No
Orange,06059052424,1,No,Yes,No,No,No,No,No,No
Orange,06059052425,1,No,Yes,No,No,No,No,No,No
Orange,06059052427,2,No,Yes,Yes,No,No,No,No,No
Orange,06059052428,1,No,No,Yes,No,No,No,No,No
Orange,06059052429,1,No,No,Yes,No,No,No,No,No
Orange,06059052430,2,No,Yes,Yes,No,No,No,No,No
Orange,06059052431,0,No,No,No,No,No,No,No,No
Orange,06059052432,1,No,No,Yes,No,No,No,No,No
Orange,06059052433,3,No,Yes,Yes,No,No,Yes,No,No
Orange,06059052434,1,No,No,Yes,No,No,No,No,No
Orange,06059052435,1,No,No,Yes,No,No,No,No,No
Orange,06059052436,0,No,No,No,No,No,No,No,No
Orange,06059052437,2,No,Yes,Yes,No,No,No,No,No
Orange,06059052438,2,No,Yes,Yes,No,No,No,No,No
Orange,06059052439,3,No,Yes,Yes,No,No,Yes,No,No
Orange,06059052502,4,Yes,Yes,Yes,No,No,Yes,No,No
Orange,06059052505,3,Yes,No,Yes,No,No,Yes,No,No
Orange,06059052506,2,Yes,No,No,No,No,Yes,No,No
Orange,06059052511,3,Yes,Yes,No,No,No,Yes,No,No
Orange,06059052513,2,No,Yes,No,No,No,Yes,No,No
Orange,06059052514,1,No,No,Yes,No,No,No,No,No
Orange,06059052518,4,Yes,Yes,Yes,No,No,Yes,No,No
Orange,06059052519,2,No,Yes,Yes,No,No,No,No,No
Orange,06059052520,2,No,Yes,Yes,No,No,No,No,No
Orange,06059052521,1,No,Yes,No,No,No,No,No,No
Orange,06059052522,1,No,Yes,No,No,No,No,No,No
Orange,06059052523,3,Yes,Yes,Yes,No,No,No,No,No
Orange,06059052524,2,No,Yes,Yes,No,No,No,No,No
Orange,06059052526,4,Yes,Yes,Yes,No,No,Yes,No,No
Orange,06059052527,4,Yes,Yes,Yes,No,No,Yes,No,No
Orange,06059052528,3,Yes,Yes,No,No,No,Yes,No,No
Orange,06059052529,2,No,Yes,No,No,No,Yes,No,No
Orange,06059052530,1,No,Yes,No,No,No,No,No,No
Orange,06059052531,2,No,Yes,Yes,No,No,No,No,No
Orange,06059052532,4,Yes,Yes,Yes,No,No,Yes,No,No
Orange,06059052533,3,Yes,Yes,Yes,No,No,No,No,No
Orange,06059052534,3,Yes,Yes,Yes,No,No,No,No,No
Orange,06059052535,2,No,Yes,Yes,No,No,No,No,No
Orange,06059062605,2,Yes,No,Yes,No,No,No,No,No
Orange,06059062610,3,No,Yes,Yes,No,Yes,No,No,No
Orange,06059062611,3,Yes,Yes,Yes,No,No,No,No,No
Orange,06059062614,2,No,Yes,Yes,No,No,No,No,No
Orange,06059062619,2,Yes,No,Yes,No,No,No,No,No
Orange,06059062620,2,Yes,No,Yes,No,No,No,No,No
Orange,06059062622,3,Yes,Yes,Yes,No,No,No,No,No
Orange,06059062625,0,No,No,No,No,No,No,No,No
Orange,06059062626,1,No,Yes,No,No,No,No,No,No
Orange,06059062627,1,No,Yes,No,No,No,No,No,No
Orange,06059062628,0,No,No,No,No,No,No,No,No
Orange,06059062629,1,Yes,No,No,No,No,No,No,No
Orange,06059062630,2,No,Yes,Yes,No,No,No,No,No
Orange,06059062631,1,Yes,No,No,No,No,No,No,No
Orange,06059062632,2,Yes,No,Yes,No,No,No,No,No
Orange,06059062633,1,No,No,Yes,No,No,No,No,No
Orange,06059062634,1,No,No,Yes,No,No,No,No,No
Orange,06059062635,0,No,No,No,No,No,No,No,No
Orange,06059062636,1,No,No,Yes,No,No,No,No,No
Orange,06059062637,1,No,No,Yes,No,No,No,No,No
Orange,06059062638,1,No,No,Yes,No,No,No,No,No
Orange,06059062639,0,No,No,No,No,No,No,No,No
Orange,06059062640,0,No,No,No,No,No,No,No,No
Orange,06059062641,1,Yes,No,No,No,No,No,No,No
Orange,06059062642,1,Yes,No,No,No,No,No,No,No
Orange,06059062643,2,Yes,No,Yes,No,No,No,No,No
Orange,06059062645,1,No,No,Yes,No,No,No,No,No
Orange,06059062646,1,Yes,No,No,No,No,No,No,No
Orange,06059062647,1,No,No,Yes,No,No,No,No,No
Orange,06059062648,2,Yes,Yes,No,No,No,No,No,No
Orange,06059062649,2,Yes,No,Yes,No,No,No,No,No
Orange,06059062650,3,Yes,Yes,Yes,No,No,No,No,No
Orange,06059062651,2,Yes,No,Yes,No,No,No,No,No
Orange,06059062652,3,Yes,Yes,Yes,No,No,No,No,No
Orange,06059062653,3,Yes,Yes,Yes,No,No,No,No,No
Orange,06059062654,2,No,Yes,Yes,No,No,No,No,No
Orange,06059062655,2,No,Yes,Yes,No,No,No,No,No
Orange,06059062656,2,Yes,No,Yes,No,No,No,No,No
Orange,06059062657,1,No,No,Yes,No,No,No,No,No
Orange,06059062658,1,Yes,No,No,No,No,No,No,No
Orange,06059062701,2,Yes,No,Yes,No,No,No,No,No
Orange,06059062702,1,Yes,No,No,No,No,No,No,No
Orange,06059062800,1,Yes,No,No,No,No,No,No,No
Orange,06059062900,3,Yes,Yes,Yes,No,No,No,No,No
Orange,06059063004,2,Yes,No,Yes,No,No,No,No,No
Orange,06059063005,2,Yes,No,Yes,No,No,No,No,No
Orange,06059063006,1,Yes,No,No,No,No,No,No,No
Orange,06059063007,3,Yes,Yes,Yes,No,No,No,No,No
Orange,06059063008,1,No,No,Yes,No,No,No,No,No
Orange,06059063009,3,Yes,Yes,Yes,No,No,No,No,No
Orange,06059063010,3,Yes,Yes,Yes,No,No,No,No,No
Orange,06059063101,4,Yes,Yes,Yes,No,Yes,No,No,No
Orange,06059063102,3,Yes,Yes,Yes,No,No,No,No,No
Orange,06059063103,2,Yes,Yes,No,No,No,No,No,No
Orange,06059063201,3,Yes,Yes,Yes,No,No,No,No,No
Orange,06059063202,3,Yes,Yes,Yes,No,No,No,No,No
Orange,06059063301,3,Yes,Yes,Yes,No,No,No,No,No
Orange,06059063302,3,Yes,Yes,Yes,No,No,No,No,No
Orange,06059063400,3,Yes,Yes,Yes,No,No,No,No,No
Orange,06059063500,3,Yes,Yes,Yes,No,No,No,No,No
Orange,06059063601,2,Yes,Yes,No,No,No,No,No,No
Orange,06059063603,3,Yes,Yes,Yes,No,No,No,No,No
Orange,06059063604,2,Yes,Yes,No,No,No,No,No,No
Orange,06059063605,3,Yes,Yes,Yes,No,No,No,No,No
Orange,06059063701,2,Yes,Yes,No,No,No,No,No,No
Orange,06059063702,3,Yes,Yes,Yes,No,No,No,No,No
Orange,06059063802,1,Yes,No,No,No,No,No,No,No
Orange,06059063803,2,Yes,Yes,No,No,No,No,No,No
Orange,06059063805,4,Yes,Yes,Yes,No,No,Yes,No,No
Orange,06059063806,4,Yes,Yes,Yes,No,No,Yes,No,No
Orange,06059063807,2,Yes,Yes,No,No,No,No,No,No
Orange,06059063808,2,Yes,Yes,No,No,No,No,No,No
Orange,06059063902,4,Yes,Yes,Yes,No,No,Yes,No,No
Orange,06059063903,4,Yes,Yes,Yes,No,No,Yes,No,No
Orange,06059063904,4,Yes,Yes,Yes,No,No,No,Yes,No
Orange,06059063905,3,Yes,Yes,Yes,No,No,No,No,No
Orange,06059063906,3,Yes,Yes,Yes,No,No,No,No,No
Orange,06059063908,4,Yes,Yes,Yes,No,Yes,No,No,No
Orange,06059063909,4,Yes,Yes,Yes,No,Yes,No,No,No
Orange,06059063910,4,Yes,Yes,Yes,No,No,Yes,No,No
Orange,06059074003,4,Yes,Yes,Yes,No,No,Yes,No,No
Orange,06059074004,4,Yes,Yes,Yes,No,No,Yes,No,No
Orange,06059074005,3,Yes,Yes,No,No,No,Yes,No,No
Orange,06059074006,3,Yes,Yes,No,No,No,Yes,No,No
Orange,06059074102,2,Yes,Yes,No,No,No,No,No,No
Orange,06059074103,3,Yes,Yes,No,No,No,Yes,No,No
Orange,06059074106,3,Yes,Yes,No,No,No,Yes,No,No
Orange,06059074107,3,Yes,Yes,No,No,No,Yes,No,No
Orange,06059074108,2,Yes,Yes,No,No,No,No,No,No
Orange,06059074109,2,Yes,Yes,No,No,No,No,No,No
Orange,06059074110,3,Yes,Yes,No,No,No,Yes,No,No
Orange,06059074111,3,Yes,Yes,No,No,No,Yes,No,No
Orange,06059074200,3,Yes,Yes,No,No,No,Yes,No,No
Orange,06059074300,3,Yes,Yes,No,No,No,Yes,No,No
Orange,06059074403,4,Yes,Yes,Yes,No,No,Yes,No,No
Orange,06059074405,4,Yes,Yes,Yes,No,No,Yes,No,No
Orange,06059074406,4,Yes,Yes,Yes,No,No,Yes,No,No
Orange,06059074407,4,Yes,Yes,Yes,No,No,Yes,No,No
Orange,06059074408,4,Yes,Yes,Yes,No,No,Yes,No,No
Orange,06059074501,3,Yes,Yes,No,No,No,Yes,No,No
Orange,06059074502,3,Yes,Yes,No,No,No,Yes,No,No
Orange,06059074601,2,Yes,Yes,No,No,No,No,No,No
Orange,06059074602,3,Yes,Yes,No,No,No,Yes,No,No
Orange,06059074701,2,Yes,Yes,No,No,No,No,No,No
Orange,06059074702,2,Yes,Yes,No,No,No,No,No,No
Orange,06059074801,2,Yes,Yes,No,No,No,No,No,No
Orange,06059074802,2,Yes,Yes,No,No,No,No,No,No
Orange,06059074803,2,Yes,Yes,No,No,No,No,No,No
Orange,06059074805,2,Yes,Yes,No,No,No,No,No,No
Orange,06059074806,2,Yes,Yes,No,No,No,No,No,No
Orange,06059074901,2,Yes,Yes,No,No,No,No,No,No
Orange,06059074902,2,Yes,Yes,No,No,No,No,No,No
Orange,06059075002,3,Yes,Yes,No,No,No,Yes,No,No
Orange,06059075003,3,Yes,Yes,Yes,No,No,No,No,No
Orange,06059075004,4,Yes,Yes,Yes,No,No,Yes,No,No
Orange,06059075100,2,Yes,Yes,No,No,No,No,No,No
Orange,06059075201,2,Yes,Yes,No,No,No,No,No,No
Orange,06059075202,2,Yes,Yes,No,No,No,No,No,No
Orange,06059075301,3,Yes,Yes,Yes,No,No,No,No,No
Orange,06059075302,2,Yes,Yes,No,No,No,No,No,No
Orange,06059075303,4,Yes,Yes,Yes,No,No,Yes,No,No
Orange,06059075401,4,Yes,Yes,Yes,No,No,Yes,No,No
Orange,06059075403,4,Yes,Yes,Yes,No,No,Yes,No,No
Orange,06059075404,4,Yes,Yes,Yes,No,No,Yes,No,No
Orange,06059075405,3,Yes,No,Yes,No,No,Yes,No,No
Orange,06059075504,3,Yes,Yes,Yes,No,No,No,No,No
Orange,06059075505,3,Yes,Yes,Yes,No,No,No,No,No
Orange,06059075506,2,Yes,Yes,No,No,No,No,No,No
Orange,06059075507,3,Yes,Yes,Yes,No,No,No,No,No
Orange,06059075512,4,Yes,Yes,Yes,No,No,Yes,No,No
Orange,06059075513,4,Yes,Yes,Yes,No,No,Yes,No,No
Orange,06059075514,4,Yes,Yes,Yes,No,No,Yes,No,No
Orange,06059075516,5,Yes,Yes,Yes,No,Yes,Yes,No,No
Orange,06059075517,4,Yes,Yes,Yes,No,No,Yes,No,No
Orange,06059075518,2,No,Yes,No,No,No,Yes,No,No
Orange,06059075603,1,Yes,No,No,No,No,No,No,No
Orange,06059075604,1,Yes,No,No,No,No,No,No,No
